16:16:51	0,653	0,096	0,847	0,712	0,154	0,632	0,871	0,161	0,298	0,375
16:16:51	0,315	0,457	0,081	0,050	0,228	0,879	0,302	0,183	0,977	0,845
16:16:52	0,280	0,067	0,424	0,123	0,158	0,327	0,682	0,007	0,468	0,041
16:16:52	0,493	0,674	0,128	0,287	0,485	0,926	0,722	0,544	0,288	0,400
16:16:53	0,697	0,391	0,706	0,672	0,922	0,047	0,351	0,994	0,931	0,380
16:16:53	0,015	0,506	0,182	0,821	0,469	0,349	0,001	0,739	0,891	0,554
16:16:54	0,304	0,992	0,189	0,497	0,280	0,329	0,959	0,714	0,964	0,055
16:16:54	0,249	0,497	0,669	0,609	0,900	0,502	0,028	0,931	0,931	0,204
16:16:55	0,631	0,938	0,984	0,051	0,173	0,040	0,700	0,875	0,202	0,389
16:16:55	0,609	0,912	0,672	0,483	0,274	0,183	0,340	0,374	0,720	0,534
